,dataset,model,acc_mean,acc_std,f1_mean,f1_std,time_mean,time_std
137,HouseTwenty,RDST NN,0.9476190476190476,0.021112719536371165,0.9460703840762371,0.021684573545655474,8.405642660458883,0.15586805461457215
138,Computers,RDST,0.8303999999999998,0.0225443759924485,0.8263143254441526,0.022605519604235406,11.12019821802775,0.586395411049652
139,Computers,RDST NN,0.7752000000000001,0.022112439937736417,0.7749445975214804,0.022167369421231892,6.306378173828125,0.1429044808938381
140,Symbols,RDST,0.9661306532663317,0.009587855419285519,0.9663714114160726,0.009760552230906959,10.026839256286621,0.6607142437521394
141,Symbols,RDST NN,0.9500502512562814,0.016245281177716925,0.950181412334549,0.01653295351620329,7.839760851860047,0.15274958130578356
142,Haptics,RDST,0.571103896103896,0.023131075705496627,0.54874768627605,0.02640314635393746,20.444659678141274,1.993335052080901
143,Haptics,RDST NN,0.49999999999999994,0.014854857088115573,0.4657290164313484,0.017844879644417718,12.083757424354554,0.17814750571212154
144,LargeKitchenAppliances,RDST,0.9225777777777779,0.022188240684906907,0.9225650571894494,0.022193608531239466,15.721656775474548,0.8352940642866096
145,LargeKitchenAppliances,RDST NN,0.9002666666666668,0.01643266845623657,0.9002063816816909,0.016447161697440284,9.441975959142049,0.23550287665513564
146,RefrigerationDevices,RDST,0.7726222222222223,0.03845263881840576,0.7564969262194785,0.04299527281372836,16.054834588368735,1.0905535287900492
147,RefrigerationDevices,RDST NN,0.7014222222222221,0.03404212350661317,0.6994625246904281,0.03352534754678251,9.482342290878297,0.2650741167439813
148,ScreenType,RDST,0.6798222222222223,0.03812452630752072,0.6636583205930789,0.033882272482961315,15.792907961209615,0.8637085724141815
149,ScreenType,RDST NN,0.5579555555555555,0.026841059389223102,0.5554445302214562,0.026708429960228756,9.497222145398458,0.1892862114545535
150,SmallKitchenAppliances,RDST,0.8216000000000001,0.015584988028607923,0.8212944261749917,0.015830159703107728,15.831383609771729,1.2879077103180316
151,SmallKitchenAppliances,RDST NN,0.7968888888888889,0.020518705708465562,0.7963549687583901,0.020711271586348667,9.503642559051514,0.20967003294162892
152,InsectWingbeatSound,RDST,0.6635858585858586,0.01290802341774663,0.6507518838385961,0.013526798726507323,13.222517402966817,0.3969706503871266
153,InsectWingbeatSound,RDST NN,0.6406565656565657,0.01108487106651383,0.6319519906059551,0.012005757081552429,12.636522857348124,0.30036126841791766
